営業種別,名称,所在地,電話番号,部屋数,定員,緯度,経度
旅館・ホテル,池の屋旅館,三方上中郡若狭町神子6ｰ12,0770-47-1612,12,37,35.62204,135.839229
旅館・ホテル,藤の家,三方上中郡若狭町神子3ｰ34,0770-46-1670,9,32,35.623476,135.837743
旅館・ホテル,浜屋,三方上中郡若狭町神子4ｰ19,0770-47-1611,5,12,35.622098,135.838624
旅館・ホテル,望海幸楽,三方上中郡若狭町神子3ｰ11ｰ1,0770-47-1316,11,52,35.623262,135.837746
旅館・ホテル,旅館はちべ,三方上中郡若狭町神子4ｰ9,0770-47-1503,9,30,35.622429,135.838207
旅館・ホテル,旅館細川,三方上中郡若狭町神子4ｰ4,0770-47-1505,7,22,35.62272,135.838274
旅館・ホテル,旅館寺本,三方上中郡若狭町神子4ｰ12,0770-47-1315,10,45,35.622467,135.838387
旅館・ホテル,旅館竹中,三方上中郡若狭町神子3ｰ15,0770-47-1402,7,21,35.623476,135.837743
旅館・ホテル,旅館潮屋,三方上中郡若狭町神子4ｰ40,0770-47-1305,5,23,35.621448,135.838849
旅館・ホテル,松岡旅館,三方上中郡若狭町神子6ｰ20,0770-47-1112,7,29,35.621862,135.83899
旅館・ホテル,若狭町みさき漁村体験施設,三方上中郡若狭町神子14ｰ1,0770-47-1110,6,64,35.616402,135.83961
旅館・ホテル,とね旅館,三方上中郡若狭町小川1ｰ9,0770-47-1050,5,23,35.606153,135.845267
旅館・ホテル,はまち旅館,三方上中郡若狭町小川1ｰ10,0770-47-1339,7,34,35.606058,135.845148
旅館・ホテル,まるや,三方上中郡若狭町小川2ｰ5,0770-47-1054,9,28,35.606506,135.845309
旅館・ホテル,みさき旅館,三方上中郡若狭町小川4ｰ23,0770-47-1057,5,15,35.607056,135.844606
旅館・ホテル,ものべ,三方上中郡若狭町小川4ｰ5,0770-47-1358,10,30,35.607281,135.844878
旅館・ホテル,翁館,三方上中郡若狭町小川8ｰ22,0770-47-1321,8,27,35.607622,135.843978
旅館・ホテル,喜楽亭,三方上中郡若狭町小川5ｰ2,0770-47-1353,9,42,35.607725,135.84452
旅館・ホテル,江むら,三方上中郡若狭町小川2ｰ31,0770-47-1520,7,24,35.606378,135.844853
旅館・ホテル,江むら,三方上中郡若狭町小川2ｰ4,0770-47-1520,7,22,35.606558,135.845442
旅館・ホテル,小川家,三方上中郡若狭町小川4ｰ29,0770-47-1355,6,21,35.607244,135.844242
旅館・ホテル,徳兵衛旅館,三方上中郡若狭町小川4ｰ38,0770-47-1059,16,52,35.607078,135.844373
旅館・ホテル,南波屋,三方上中郡若狭町小川4ｰ25,0770-46-1157,13,46,35.607458,135.844278
旅館・ホテル,入船,三方上中郡若狭町小川4ｰ24,,6,20,35.607319,135.844392
旅館・ホテル,白帆旅館,三方上中郡若狭町小川2ｰ14,0770-47-1253,7,18,35.606919,135.845078
旅館・ホテル,冨士旅館,三方上中郡若狭町小川4ｰ2,0770-47-1259,5,19,35.607239,135.845134
旅館・ホテル,旅館あさひ屋,三方上中郡若狭町小川8ｰ26,0770-47-1255,5,22,35.607467,135.84359
旅館・ホテル,きよしや,三方上中郡若狭町遊子11ｰ10,0770-47-1725,11,41,35.603081,135.855119
旅館・ホテル,こまつや,三方上中郡若狭町遊子7号手之平16,0770-46-1175,9,33,35.603167,135.856725
旅館・ホテル,だいらや,三方上中郡若狭町遊子5ｰ28,0770-47-1501,7,33,35.601343,135.855808
旅館・ホテル,だいらや旅館別館,三方上中郡若狭町遊子5ｰ30ｰ1,0770-47-1501,6,36,35.602004,135.855375
旅館・ホテル,はまと旅館,三方上中郡若狭町遊子10ｰ5,0770-47-1724,9,53,35.60319,135.855694
旅館・ホテル,やまや,三方上中郡若狭町遊子南田5ｰ20,0770-47-1622,9,36,35.601706,135.85533
旅館・ホテル,やろく,三方上中郡若狭町遊子3ｰ4,0770-47-1523,9,27,35.601901,135.857202
旅館・ホテル,昭和館,三方上中郡若狭町遊子2ｰ3,0770-47-1722,22,94,35.601412,135.857463
旅館・ホテル,遊子荘,三方上中郡若狭町遊子7ｰ4,,7,22,35.603192,135.856022
旅館・ホテル,遊子荘,三方上中郡若狭町遊子7ｰ5,0770-46-1521,8,22,35.603192,135.856022
旅館・ホテル,旅館三四郎,三方上中郡若狭町遊子6ｰ21ｰ1,0770-41ｰ1524,12,53,35.602712,135.85575
旅館・ホテル,新谷屋,三方上中郡若狭町塩坂越1ｰ1,,7,32,35.588616,135.858727
旅館・ホテル,大谷旅館,三方上中郡若狭町塩坂越4ｰ7,,7,21,35.588772,135.85803
旅館・ホテル,海香の宿波華楼,三方上中郡若狭町塩坂越3ｰ11,0770-47-1423,6,29,35.588555,135.857741
旅館・ホテル,なが田,三方上中郡若狭町海山52ｰ22,0770-47-1363,14,65,35.59145,135.867113
旅館・ホテル,湖上館パムコ,三方上中郡若狭町海山64ｰ4ｰ1,0770-47-1727,10,46,35.58805,135.86373
旅館・ホテル,若狭町観光ホテル水月花,三方上中郡若狭町海山51ｰ13,0770-47-1234,30,216,35.591033,135.867846
旅館・ホテル,梅花,三方上中郡若狭町海山64ｰ2,0770-46-1684,6,16,35.588186,135.863507
旅館・ホテル,水月湖畔の宿大五郎丸,三方上中郡若狭町海山68ｰ12ｰ2,,7,24,,
旅館・ホテル,あおきや,三方上中郡若狭町世久見5ｰ6ｰ2,0770-46-1558,13,47,35.571907,135.85055
旅館・ホテル,えむら家旅館,三方上中郡若狭町世久見6ｰ20,,9,41,35.571252,135.850308
旅館・ホテル,かわむら,三方上中郡若狭町世久見13ｰ14,0770-46-1537,8,28,35.57101,135.849608
旅館・ホテル,きよや,三方上中郡若狭町世久見(食見)31-8,0770-46-1511,8,32,35.559522,135.839681
旅館・ホテル,シーサイドまつみや,三方上中郡若狭町世久見1ｰ5,0770-46-1451,5,27,35.573382,135.851014
旅館・ホテル,なぎさ館,三方上中郡若狭町世久見5ｰ5,0770-46-1290,10,36,35.571915,135.850342
旅館・ホテル,はまかわ,三方上中郡若狭町世久見5ｰ20,0770-46-1538,13,55,35.571443,135.85007
旅館・ホテル,はまべや,三方上中郡若狭町世久見5ｰ14,0770-46-1557,10,40,35.571665,135.850356
旅館・ホテル,ひさみ,三方上中郡若狭町世久見5ｰ10,0770-46-1539,5,15,35.571685,135.850497
旅館・ホテル,ふじはらや,三方上中郡若狭町世久見13ｰ26,0770-46-1536,12,57,35.570991,135.849947
旅館・ホテル,まごや,三方上中郡若狭町世久見5ｰ4,0770-46-1550,12,47,35.572182,135.850572
旅館・ホテル,まつみや,三方上中郡若狭町世久見6ｰ16,0770-46-1373,5,18,35.571516,135.850647
旅館・ホテル,まつみや,三方上中郡若狭町世久見4ｰ9,0770-46-1373,6,25,35.573038,135.850589
旅館・ホテル,みたにや,三方上中郡若狭町世久見11ｰ1,0770-46-1651,8,39,35.570818,135.850336
旅館・ホテル,みなと屋,三方上中郡若狭町世久見15ｰ17,0770-46-1394,9,26,35.564688,135.843326
旅館・ホテル,よしおかや,三方上中郡若狭町世久見15ｰ10,0770-46-1786,11,47,35.564799,135.842939
旅館・ホテル,わたなべ館,三方上中郡若狭町世久見13ｰ20ｰ1他,0770-46-1553,10,42,35.570605,135.849486
旅館・ホテル,一二三荘,三方上中郡若狭町世久見4ｰ16,0770-46-1881,8,32,35.572302,135.850739
旅館・ホテル,漁師のお宿勇晴,三方上中郡若狭町世久見6ｰ29,0770-46-1654,7,24,35.570813,135.850936
旅館・ホテル,魚美家,三方上中郡若狭町世久見12号下坂3ｰ1,0770-46-1535,13,78,35.570454,135.850139
旅館・ホテル,山文館,三方上中郡若狭町世久見9ｰ4,0770-46-1655,5,17,35.570766,135.850589
旅館・ホテル,若狭の宿きよや,三方上中郡若狭町世久見39号渕ｹ尻11ｰ1,0770-46-1511,7,28,35.561739,135.836715
旅館・ホテル,重田家,三方上中郡若狭町世久見11ｰ2,0770-46-1650,10,35,35.570729,135.850439
旅館・ホテル,松喜,三方上中郡若狭町世久見13ｰ17,0770-46-1559,11,50,35.570879,135.849117
旅館・ホテル,清風荘,三方上中郡若狭町世久見40ｰ3,0770-46-1364,14,96,35.561219,135.834795
旅館・ホテル,浜松旅館,三方上中郡若狭町世久見12ｰ5,,7,27,35.570454,135.850317
旅館・ホテル,浜仁,三方上中郡若狭町世久見4ｰ7,0770-46-1551,8,37,35.572302,135.850739
旅館・ホテル,浜乃家,三方上中郡若狭町世久見13ｰ6,0770-46-1470,13,49,35.571191,135.850003
旅館・ホテル,民宿長谷,三方上中郡若狭町世久見(食見)9-14-1,0770-46-1735,7,18,35.570891,135.850508
旅館・ホテル,民宿長谷,三方上中郡若狭町世久見39ｰ14ｰ1,0770-46-1735,8,35,,
旅館・ホテル,民宿浜正,三方上中郡若狭町世久見4ｰ12,0770-46-1653,5,19,35.572563,135.850553
旅館・ホテル,旅館美舟,三方上中郡若狭町世久見13ｰ30,0770-46-1554,9,36,35.570743,135.850072
旅館・ホテル,庄司旅館,三方上中郡若狭町大鳥羽25ｰ12ｰ1,0770-64-1211,12,57,35.50412,135.866457
旅館・ホテル,ホテル若狭,三方上中郡若狭町末野84ｰ3ｰ1,0770-62-0608,7,39,35.476973,135.888686
旅館・ホテル,えびす荘,三方上中郡若狭町安賀里75ｰ1,0770-62-0531,10,57,35.478634,135.87984
旅館・ホテル,わかさカントリー倶楽部,三方上中郡若狭町新道9ｰ3,0770-62-1515,17,45,35.467091,135.895283
旅館・ホテル,リフレステやまびこ,三方上中郡若狭町河内1号鋸川4ｰ5,0770-62-0256,9,39,35.432966,135.891239
旅館・ホテル,東急ハーヴェストクラブスキージャム勝山,勝山市170字奥山69ｰ7,0779-87-6109,100,846,36.034126,136.529982
旅館・ホテル,プチホテルバースティック,勝山市180字･178字郡原1-20･1-22,0779-88-5888,28,157,36.03429,136.531468
旅館・ホテル,ペンション星の子,勝山市178字郡1番6,0779-87-6000,11,36,36.075404,136.555431
旅館・ホテル,福井医療短期大学法恩寺山荘,勝山市180字郡原1ｰ13,0779-87-6234,7,21,36.03429,136.531468
旅館・ホテル,平尾ペンション,勝山市村岡町滝波19ｰ15ｰ2,0779-89-3300,10,43,36.075462,136.488865
旅館・ホテル,株式会社あまごの宿,勝山市野向町横倉第56号35番地,0779-88-5398,11,42,36.122153,136.507944
旅館・ホテル,ペンションＵＰＯ,勝山市村岡町栃神谷第11号6番地1,0779-87-6722,9,34,36.092316,136.533144
旅館・ホテル,民宿松原旅館,勝山市村岡町寺尾26ｰ28,0779-88-1943,9,26,36.079262,136.512619
旅館・ホテル,横倉鉱泉勝山旅館,勝山市郡町2丁目9ｰ6,0779-88-0299,6,22,36.073332,136.503034
旅館・ホテル,ホテルやなぎ屋,勝山市荒土町新保4ｰ129,0779-89-1000,9,38,36.075576,136.482018
旅館・ホテル,米伊旅館,勝山市本町2丁目3ｰ6,0779-87-0042,8,35,36.059256,136.499823
旅館・ホテル,板甚,勝山市本町2丁目5ｰ14,0779-88-0020,7,35,36.059784,136.498995
旅館・ホテル,勝山市滞在型コンベンション施設勝山ニューホテル,勝山市片瀬町2丁目114番地,0779-88-2110,64,484,36.050099,136.514728
旅館・ホテル,六呂師高原温泉キャンプグランド,勝山市平泉寺町平泉寺230号50番地,0779-88-5789,11,80,36.027578,136.572938
旅館・ホテル,六呂師高原温泉ピクニックガーデン,勝山市平泉寺町平泉寺230池ヶ原50,0779-88-1110,9,36,36.027578,136.572938
旅館・ホテル,ホテルハグハグ,小浜市飯盛15ｰ17ｰ18,0770-52-3300,10,42,35.487099,135.685349
旅館・ホテル,ＨＯＴＥＬクローバー,小浜市飯盛26ｰ24,0770-52-5163,8,18,35.486271,135.679891
旅館・ホテル,お宿「雅の長八」,小浜市加斗5-59-1,,5,11,35.484733,135.675219
旅館・ホテル,レストラン・ホテル若狭マリンプラザ,小浜市岡津44,0770-53-2100,24,105,35.481646,135.656182
旅館・ホテル,ホテルアーバンポート,小浜市小浜白鳥72ｰ1,0770-53-2001,51,152,35.493812,135.737878
旅館・ホテル,四季彩の宿花椿,小浜市小浜白鳥85番地,0770-53-2001,10,92,35.49404,135.738073
旅館・ホテル,ホテル・ナガタ,小浜市小浜香取33,0770-52-0380,12,24,35.491429,135.734518
旅館・ホテル,若狭路の宿さわ,小浜市小浜貴船60,0770-52-0631,10,40,35.492359,135.735384
旅館・ホテル,アプロディ－ル華双寿,小浜市小浜日吉75,0770-53-2020,8,68,35.494631,135.738642
旅館・ホテル,ホテルせくみ屋,小浜市小浜白鬚113番地,0770-52-0020,76,379,35.495884,135.741631
旅館・ホテル,サンホテルやまね,小浜市小浜白鬚55ｰ1,0770-52-1450,32,339,35.496201,135.739873
旅館・ホテル,ビジネスホテル山海,小浜市駅前町15ｰ13,0770-52-7000,16,40,35.49159,135.749369
旅館・ホテル,ビジネスホテルれんが亭,小浜市駅前町9ｰ18,0770-52-1004,16,34,35.493065,135.746661
旅館・ホテル,ビジネスホテル山海別館,小浜市駅前町16ｰ6,0770-52-7050,16,38,35.491371,135.749783
旅館・ホテル,旅館若杉,小浜市駅前町7ｰ16,0770-52-0900,22,89,35.492557,135.746044
旅館・ホテル,ビジネスホテルニューコーヨー,小浜市大手町7ｰ36興養軒ﾋﾞﾙ3F,0770-53-1616,10,47,35.496212,135.745836
旅館・ホテル,若杉末広亭,小浜市大手町8ｰ5,0770-53-0202,21,108,35.497654,135.74598
旅館・ホテル,きざき,小浜市小浜塩竈60,0770-52-0342,14,50,35.497715,135.74172
旅館・ホテル,秦,小浜市田烏36ｰ40,0770-54-3219,7,30,35.536905,135.835029
旅館・ホテル,民宿佐助,小浜市田烏36ｰ47,0770-54-3407,7,24,35.537224,135.835329
旅館・ホテル,浜乃家,小浜市田烏36ｰ56,0770-54-3206,6,27,35.536805,135.835559
旅館・ホテル,岸野金蔵,小浜市矢代4ｰ11,0770-54-3322,6,21,35.526964,135.806495
旅館・ホテル,こまや,小浜市矢代11ｰ15,0770-54-3056,8,30,35.527025,135.806942
旅館・ホテル,橋本荘,小浜市矢代4ｰ44,0770-54-3054,6,21,35.527316,135.806711
旅館・ホテル,山吉屋,小浜市矢代11ｰ2,0770-54-3325,8,32,35.5268,135.807214
旅館・ホテル,かどの,小浜市矢代4ｰ23,0770-54-3051,5,21,35.526964,135.806495
旅館・ホテル,久兵衛,小浜市志積15ｰ6,0770-54-3431,8,33,35.524628,135.799048
旅館・ホテル,上田屋,小浜市志積15ｰ9,0770-54-3427,6,23,35.524355,135.799442
旅館・ホテル,浜岸,小浜市犬熊16ｰ4,0770-54-3359,13,47,35.530163,135.789713
旅館・ホテル,かわち,小浜市犬熊15ｰ1,0770-54-3135,10,42,35.529857,135.789418
旅館・ホテル,西川旅館,小浜市犬熊13ｰ8,0770-54-3130,8,34,35.53021,135.788915
旅館・ホテル,旅館上亟,小浜市犬熊16ｰ13,0770-54-3136,9,43,35.52948,135.789774
旅館・ホテル,千鳥屋,小浜市犬熊16ｰ3,0770-54-3137,7,40,35.530285,135.789549
旅館・ホテル,さいば,小浜市阿納12ｰ73,0770-54-3041,6,33,35.534768,135.785094
旅館・ホテル,彦荘,小浜市阿納9ｰ3,0770-54-3315,5,24,35.535371,135.785446
旅館・ホテル,（五）河原旅館,小浜市阿納11ｰ8,0770-54-3046,13,40,35.534307,135.78536
旅館・ホテル,いそべ,小浜市阿納11ｰ22,0770-54-3314,8,40,35.534146,135.785082
旅館・ホテル,別館まるふじ,小浜市阿納9ｰ12,0770-54-3048,11,40,35.533971,135.782335
旅館・ホテル,ひろた,小浜市阿納9ｰ1,0770-54-3045,15,65,35.535185,135.785502
旅館・ホテル,はまもと,小浜市阿納9ｰ4,0770-54-3043,12,78,35.535601,135.785421
旅館・ホテル,いたや,小浜市阿納10ｰ4,0770-54-3001,14,59,35.534557,135.785532
旅館・ホテル,下亟旅館,"小浜市阿納10ｰ1510ｰ7ｰ1,2",0770-54-3313,11,52,35.534824,135.785324
旅館・ホテル,（は）浜頭,小浜市阿納8ｰ4,0770-54-3047,10,42,35.536965,135.786585
旅館・ホテル,もりした,小浜市阿納12ｰ65,0770-54-3700,15,63,35.534979,135.785052
旅館・ホテル,広田（忠）旅館,"小浜市阿納7ｰ48､8ｰ3,6",0770-54-3310,14,67,35.535482,135.784838
旅館・ホテル,旅館水月,小浜市阿納10ｰ12,0770-54-3312,19,106,35.534885,135.785507
旅館・ホテル,まるいち旅館,小浜市阿納11ｰ12,0770-54-3049,6,23,35.534629,135.785216
旅館・ホテル,民宿中川,小浜市阿納11ｰ18,0770-54-3311,9,38,35.534393,135.785113
旅館・ホテル,仲村,小浜市西小川9ｰ9,0770-52-2807,7,27,35.546941,135.771958
旅館・ホテル,村上,小浜市西小川6ｰ4ｰ1,0770-52-2804,9,45,35.546889,135.772284
旅館・ホテル,中山,小浜市西小川6ｰ2,0770-52-2809,6,22,35.547108,135.772233
旅館・ホテル,中島屋,小浜市西小川9ｰ23,0770-52-2810,7,27,35.546789,135.771525
旅館・ホテル,旅館うらたに,小浜市宇久6ｰ9,0770-52-2853,10,49,35.546311,135.753501
旅館・ホテル,勝栄丸,小浜市仏谷12,0770-52-2848,7,26,35.525529,135.731075
旅館・ホテル,奥城丸,小浜市仏谷12ｰ12,0770-52-2845,5,19,35.525545,135.731189
旅館・ホテル,流星館,大飯郡おおい町名田庄納田終109ｰ6ｰ1,0770-67-3000,20,81,35.39508,135.584756
旅館・ホテル,南川荘,大飯郡おおい町名田庄三重52ｰ18ｰ1,0770-67-2406,7,22,35.406649,135.687344
旅館・ホテル,新佐,大飯郡おおい町名田庄久坂4ｰ10ｰ2,0770-67-2028,9,62,35.399786,135.683692
旅館・ホテル,門野亭,大飯郡おおい町名田庄口坂本31ｰ4ｰ1,0770-67-3007,5,13,35.399527,135.6093
旅館・ホテル,田中旅館,大飯郡おおい町大島52ｰ50,0770-77-0172,5,17,35.530695,135.653539
旅館・ホテル,池上,大飯郡おおい町大島49ｰ47,,5,17,35.53157,135.655
旅館・ホテル,こすえ旅館,大飯郡おおい町大島45ｰ33ｰ1,0770-77-0396,7,25,35.531507,135.657461
旅館・ホテル,宮内旅館,大飯郡おおい町大島130ｰ48ｰ2,0770-77-1735,8,28,35.521779,135.628077
旅館・ホテル,仁生丸渡船,"大飯郡おおい町大島116ｰ53ｰ1,2",0770-77-0193,5,17,35.520968,135.634296
旅館・ホテル,畑新屋,大飯郡おおい町大島57ｰ24,0770-77-0242,5,16,35.529654,135.651176
旅館・ホテル,高本旅館,大飯郡おおい町大島115ｰ66,0770-77-0478,6,18,35.521096,135.634685
旅館・ホテル,大江旅館,大飯郡おおい町大島49号20ｰ1ｰ2､21,0770-77-0409,6,19,35.532351,135.655525
旅館・ホテル,神野旅館,大飯郡おおい町大島91ｰ54ｰ1,0770-77-0279,6,21,35.524188,135.640621
旅館・ホテル,上山旅館,大飯郡おおい町大島56ｰ9,0770-77-0090,5,15,35.52954,135.651642
旅館・ホテル,田中旅館,大飯郡おおい町大島52ｰ50,0770-77-1733,7,26,35.530695,135.653539
旅館・ホテル,まえもと旅館,大飯郡おおい町大島52ｰ22,0770-77-0467,6,18,35.530907,135.653512
旅館・ホテル,旅館もりもと,大飯郡おおい町大島125ｰ24,0770-77-0323,11,24,35.524746,135.625694
旅館・ホテル,宮本旅館,大飯郡おおい町大島28ｰ3,0770-77-0484,5,15,35.530607,135.660169
旅館・ホテル,中西旅館,大飯郡おおい町大島52ｰ49,0770-77-0187,5,17,35.53062,135.653434
旅館・ホテル,庄司旅館,大飯郡おおい町大島57ｰ47,0770-77-0241,5,13,35.529768,135.651659
旅館・ホテル,中谷旅館,大飯郡おおい町大島125ｰ23,0770-77-0098,8,26,35.522279,135.628916
旅館・ホテル,井本旅館,大飯郡おおい町大島瓜添119ｰ26,0770-77-1308,6,20,35.522388,135.630669
旅館・ホテル,小西旅館,大飯郡おおい町大島16,0770-77-1897,6,18,35.521782,135.628838
旅館・ホテル,時田旅館,大飯郡おおい町大島113ｰ65,0770-77-0315,6,19,35.520716,135.635605
旅館・ホテル,大島旅館,大飯郡おおい町大島119ｰ10,0770-77-0321,7,23,35.522388,135.630669
旅館・ホテル,飛龍館,大飯郡おおい町大島45ｰ29,0770-77-1277,6,13,35.531557,135.657178
旅館・ホテル,森屋,大飯郡おおい町大島90ｰ23,0770-77-0834,6,18,35.526101,135.643015
旅館・ホテル,梅田,大飯郡おおい町大島110ｰ42,0770-77-1004,6,18,35.523188,135.639418
旅館・ホテル,寺本旅館,大飯郡おおい町大島55ｰ19,0770-77-2143,5,16,35.530409,135.652031
旅館・ホテル,リゾート旅館常木,大飯郡おおい町大島33ｰ99,0770-77-1521,5,14,35.531026,135.659247
旅館・ホテル,大谷旅館,大飯郡おおい町大島51ｰ22,0770-77-0431,7,22,35.53159,135.654756
旅館・ホテル,藤井旅館,大飯郡おおい町大島28ｰ9,0770-77-0325,10,35,35.53049,135.660425
旅館・ホテル,大谷旅館,大飯郡おおい町大島125ｰ20,0770-77-0635,12,34,35.524618,135.62533
旅館・ホテル,福井旅館,大飯郡おおい町大島115ｰ67ｰ2,0770-77-0459,5,19,35.521252,135.634988
旅館・ホテル,西森旅館,大飯郡おおい町大島116ｰ32,0770-77-0191,10,28,35.521585,135.633666
旅館・ホテル,なとや,大飯郡おおい町大島28ｰ19ｰ1,0770-77-1352,7,29,35.530132,135.661106
旅館・ホテル,下西旅館,大飯郡おおい町大島116ｰ43ｰ3,0770-77-0503,12,36,35.521121,135.633974
旅館・ホテル,こすえ旅館,大飯郡おおい町大島28ｰ6,0770-77-0441,9,23,35.530543,135.660331
旅館・ホテル,大江旅館,大飯郡おおい町大島51ｰ21,0770-77-0409,5,25,35.53184,135.654953
旅館・ホテル,新谷旅館,大飯郡おおい町大島宮留44ｰ12,0770-77-0296,8,24,35.531465,135.657903
旅館・ホテル,澤山旅館,大飯郡おおい町大島121ｰ30,0770-77-1884,11,42,35.522282,135.628444
旅館・ホテル,民宿福島,大飯郡おおい町大島59ｰ8ｰ1,0770-77-0095,18,77,35.528271,135.647943
旅館・ホテル,大道旅館,大飯郡おおい町大島28ｰ2,0770-77-0295,7,21,35.530651,135.660089
旅館・ホテル,宮内旅館,大飯郡おおい町大島113ｰ43,0770-77-0166,10,25,35.520632,135.636646
旅館・ホテル,旅館こうはち,大飯郡おおい町大島91ｰ7,0770-77-0373,6,17,35.523335,135.639485
旅館・ホテル,光野旅館,大飯郡おおい町大島57ｰ15,0770-77-1229,8,25,35.52939,135.65084
旅館・ホテル,旅館はやし,大飯郡おおい町長井37,0770-77-0591,12,45,35.47913,135.636236
旅館・ホテル,ホテルうみんぴあ,大飯郡おおい町成海1ｰ8,0770-77-3700,28,196,35.481582,135.631708
旅館・ホテル,パスタイムインホンゴウ,大飯郡おおい町本郷137ｰ8ｰ1,0770-77-1450,15,69,35.479651,135.617598
旅館・ホテル,花屋,大飯郡おおい町本郷122ｰ18ｰ1,0770-77-0019,6,32,35.479296,135.622576
旅館・ホテル,妙法館,大飯郡おおい町本郷147ｰ1ｰ2,0770-77-0051,8,12,35.482862,135.620209
旅館・ホテル,おかせ旅館,大飯郡おおい町本郷153字上中川1ｰ1,0770-77-0009,17,47,35.482659,135.619259
旅館・ホテル,金丸旅館,大飯郡おおい町本郷144ｰ16ｰ1,0770-77-0083,4,13,35.48286,135.622987
旅館・ホテル,ビジネスホテルリッツＯＨＩ,大飯郡おおい町本郷147,0770-77-1110,15,25,35.482535,135.620257
旅館・ホテル,和楽荘,大飯郡高浜町和田110ｰ20,0770-72-0332,8,32,35.490794,135.572292
旅館・ホテル,旅館いずみ,大飯郡高浜町和田118ｰ15,0770-72-0259,12,44,35.491308,135.577769
旅館・ホテル,かえもん旅館,大飯郡高浜町和田112ｰ16,0770-72-0375,11,35,35.489394,135.575533
旅館・ホテル,まるいち旅館,大飯郡高浜町和田121ｰ3,0770-72-0148,7,24,35.492153,135.576764
旅館・ホテル,嘉左ェ門旅館,大飯郡高浜町和田122ｰ2ｰ1,0770-72-0335,16,59,35.491539,135.577453
旅館・ホテル,㈲まるいち旅館,大飯郡高浜町和田121ｰ21ｰ2,0770-72-0403,25,77,35.492369,135.576175
旅館・ホテル,小松旅館,大飯郡高浜町和田126ｰ35ｰ3,0770-72-0359,6,19,35.493227,135.579094
旅館・ホテル,旅館うらにし,大飯郡高浜町和田134ｰ1ｰ2,0770-72-0971,5,18,35.495197,135.579519
旅館・ホテル,旅館五作荘,大飯郡高浜町和田131ｰ16ｰ1,0770-72-0164,7,23,35.495016,135.579061
旅館・ホテル,又栄旅館別館,大飯郡高浜町和田126ｰ38,0770-72-0601,9,22,35.492744,135.579194
旅館・ホテル,海のみえる宿むらみや,大飯郡高浜町和田121ｰ10,0770-72-0639,11,67,35.492814,135.576797
旅館・ホテル,稚紫奘,大飯郡高浜町和田122ｰ3,0770-72-0411,9,29,35.491603,135.576905
旅館・ホテル,有限会社民宿浜側,大飯郡高浜町和田101ｰ7ｰ4,0770-72-0898,34,73,35.488589,135.57042
旅館・ホテル,吉坂旅館新館,大飯郡高浜町和田111ｰ34ｰ1,0770-72-0368,9,25,35.490142,135.575319
旅館・ホテル,まつ下旅館,大飯郡高浜町和田126ｰ22,0770-72-0348,20,60,35.493325,135.579027
旅館・ホテル,松本,大飯郡高浜町和田127ｰ30ｰ1,0770-72-1238,9,41,35.49355,135.578072
旅館・ホテル,民宿浜側,大飯郡高浜町和田105ｰ9ｰ1,0770-72-0469,13,41,35.489111,135.570503
旅館・ホテル,いしい荘,大飯郡高浜町和田135ｰ3ｰ1,0770-72-0141,8,26,35.494636,135.579594
旅館・ホテル,野瀬助右エ門,大飯郡高浜町鐘寄12ｰ10ｰ1,0770-72-3552,7,20,35.489028,135.531011
旅館・ホテル,太平旅館,大飯郡高浜町畑27ｰ4,0770-72-0711,6,15,35.484811,135.536261
旅館・ホテル,助左エ門,大飯郡高浜町畑15ｰ1,0770-72-0712,7,15,35.48525,135.53618
旅館・ホテル,城山荘,大飯郡高浜町事代6ｰ1ｰ1,0770-72-0357,31,138,35.495085,135.552048
旅館・ホテル,伝治郎,大飯郡高浜町薗部53ｰ33,0770-72-0397,6,22,35.4876,135.560776
旅館・ホテル,善兵衛荘,大飯郡高浜町薗部49ｰ9,0770-72-0610,5,15,35.4876,135.55694
旅館・ホテル,清嵐荘,大飯郡高浜町薗部46ｰ10,0770-72-0643,7,20,35.487331,135.562909
旅館・ホテル,民宿かくたに,大飯郡高浜町薗部54ｰ2,0770-72-1626,12,38,35.487689,135.561537
旅館・ホテル,いわた屋,大飯郡高浜町薗部45ｰ10ｰ3,0770-72-2479,6,26,35.487561,135.563948
旅館・ホテル,ひらやま,大飯郡高浜町薗部51ｰ12,0770-72-0520,9,39,35.487572,135.558359
旅館・ホテル,民宿甚兵衛,大飯郡高浜町薗部53ｰ19,0770-72-0521,7,21,35.488019,135.56109
旅館・ホテル,とき本,大飯郡高浜町薗部50ｰ17,0770-72-1549,8,17,35.48805,135.557101
旅館・ホテル,リゾートインキシモト,大飯郡高浜町薗部61ｰ5,0770-72-0636,13,40,35.488964,135.557806
旅館・ホテル,登喜丘荘,大飯郡高浜町薗部51ｰ4,0770-72-0371,5,15,35.488528,135.558212
旅館・ホテル,与五郎,大飯郡高浜町薗部51ｰ16,0770-72-0458,6,18,35.488105,135.558301
旅館・ホテル,民宿さるはし,大飯郡高浜町薗部52ｰ2,0770-72-1516,5,18,35.488455,135.559159
旅館・ホテル,やまぐち,大飯郡高浜町薗部62ｰ8ｰ1,0770-72-1435,5,16,35.488978,135.557548
旅館・ホテル,はまや旅館,大飯郡高浜町薗部61ｰ17,0770-72-0516,5,20,35.488828,135.558884
旅館・ホテル,民宿紋助,大飯郡高浜町薗部61ｰ7,0770-72-1636,5,15,35.488886,135.557981
