カウンターID,最終情報更新日,廃止フラグ,承認年月日,廃止年月日,事業者名（日本語）,事業者名（英語）,事業者住所_郵便番号,事業者住所_都道府県コード,事業者住所_市町村コード,事業者住所_大字丁目・番地等（日本語）,事業者住所_大字丁目・番地等（英語）,カウンター名称（日本語）,カウンター名称（英語）,カウンター住所_郵便番号,カウンター住所_都道府県コード,カウンター住所_市町村コード,カウンター住所_大字丁目・番地等（日本語）,カウンター住所_大字丁目・番地等（英語）,カウンター住所_建物階層,カウンター住所_緯度,カウンター住所_経度,カウンター住所_施設類型,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（日本語）,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（英語）,カウンター電話番号,外部リンクＵＲＬ,営業時間_月曜日_開始時間,営業時間_月曜日_終了時間,営業時間_月曜日_定休日フラグ,営業時間_火曜日_開始時間,営業時間_火曜日_終了時間,営業時間_火曜日_定休日フラグ,営業時間_水曜日_開始時間,営業時間_水曜日_終了時間,営業時間_水曜日_定休日フラグ,営業時間_木曜日_開始時間,営業時間_木曜日_終了時間,営業時間_木曜日_定休日フラグ,営業時間_金曜日_開始時間,営業時間_金曜日_終了時間,営業時間_金曜日_定休日フラグ,営業時間_土曜日_開始時間,営業時間_土曜日_終了時間,営業時間_土曜日_定休日フラグ,営業時間_日曜日_開始時間,営業時間_日曜日_終了時間,営業時間_日曜日_定休日フラグ,営業時間_その他（日本語）,営業時間_その他（英語）,対応可能言語_英語フラグ,対応可能言語_中国語（簡体字）フラグ,対応可能言語_中国語（繁体字）フラグ,対応可能言語_韓国語フラグ,対応可能言語_タイ語フラグ,対応可能言語_その他（日本語）,対応可能言語_その他（英語）,免税店プラグ,JNTO観光案内所フラグ,一時預かりフラグ,一時預かり_料金_固定,一時預かり_料金_変動上限値,一時預かり_料金_変動下限値,一時預かり_取扱可能品目_スーツケースフラグ,一時預かり_取扱可能品目_クール品フラグ,一時預かり_取扱可能品目_土産品フラグ,一時預かり_取扱可能品目_3辺長合計上限値,一時預かり_取扱可能品目_最大重量上限値,一時預かり_取扱可能品目_取扱金額上限値,一時預かり_取扱可能品目_その他（日本語）,一時預かり_取扱可能品目_その他（英語）,一時預かり_補償内容_取扱金額上限値,一時預かり_補償内容_その他（日本語）,一時預かり_補償内容_その他（英語）,配送_当日配送フラグ,配送_当日配送_料金_固定,配送_当日配送_料金_変動上限値,配送_当日配送_料金_変動下限値,配送_当日配送_取扱可能品目_スーツケースフラグ,配送_当日配送_取扱可能品目_クール品フラグ,配送_当日配送_取扱可能品目_土産品フラグ,配送_当日配送_取扱可能品目_3辺長合計上限値,配送_当日配送_取扱可能品目_最大重量上限値,配送_当日配送_取扱可能品目_取扱金額上限値,配送_当日配送_取扱可能品目_その他（日本語）,配送_当日配送_取扱可能品目_その他（英語）,配送_当日配送_補償内容_取扱金額上限値,配送_当日配送_補償内容_その他（日本語）,配送_当日配送_補償内容_その他（英語）,配送_当日配送_受付時間〆切,配送_当日配送_最終配送時間,配送_当日配送_配送先（日本語）,配送_当日配送_配送先（英語）,配送_一般配送フラグ,配送_一般配送_料金_固定,配送_一般配送_料金_変動上限値,配送_一般配送_料金_変動下限値,配送_一般配送_取扱可能品目_スーツケースフラグ,配送_一般配送_取扱可能品目_クール品フラグ,配送_一般配送_取扱可能品目_土産品フラグ,配送_一般配送_取扱可能品目_3辺長合計上限値,配送_一般配送_取扱可能品目_最大重量上限値,配送_一般配送_取扱可能品目_取扱金額上限値,配送_一般配送_取扱可能品目_その他（日本語）,配送_一般配送_取扱可能品目_その他（英語）,配送_一般配送_補償内容_取扱金額上限値,配送_一般配送_補償内容_その他（日本語）,配送_一般配送_補償内容_その他（英語）,配送_一般配送_配送先_全国各地発送フラグ,配送_一般配送_配送先_その他（日本語）,配送_一般配送_配送先_その他（英語）,配送_海外配送フラグ,配送_海外配送_料金_固定,配送_海外配送_料金_変動上限値,配送_海外配送_料金_変動下限値,配送_海外配送_取扱可能品目_スーツケースフラグ,配送_海外配送_取扱可能品目_クール品フラグ,配送_海外配送_取扱可能品目_土産品フラグ,配送_海外配送_取扱可能品目_3辺長合計上限値,配送_海外配送_取扱可能品目_最大重量上限値,配送_海外配送_取扱可能品目_取扱金額上限値,配送_海外配送_取扱可能品目_その他（日本語）,配送_海外配送_取扱可能品目_その他（英語）,配送_海外配送_補償内容_取扱金額上限値,配送_海外配送_補償内容_その他（日本語）,配送_海外配送_補償内容_その他（英語）
0000000210,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス心斎橋筋店,LAOX SINSAIBASHI-SUJISTORE,5420085,27,1004,中央区心斎橋筋２丁目５番３号Ｇビル心斎橋０１　１・２階,"Gbldg.Shinsaibashi01 1-2F,2-5-3,Shinsaibashi-suji,Chuo-ku",,34.669710,135.501108,06,,,0662143230,,1100,1900,0,1100,1900,0,1100,1900,0,1100,1900,0,1100,1900,0,1100,1900,0,1100,1900,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000211,20220817,1,20171027,20220817,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス大丸心斎橋店,LAOX DAIMARU SHINSAIBASHI STORE.,5420085,27,1004,中央区心斎橋筋１－７－１大丸心斎橋店南館６階,"1-7-1,Shinsaibashisuji, Chuo-ku",6,35.672584,135.501010,06,,,0662410001,,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000212,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス大阪日本橋店,LAOX Osaka Niponbashi  STORE.,5560023,27,1004,中央区日本橋２－７－５,"2-7-5 Niponbashi, tyuou-ku",,34.663663,135.505718,06,,,0643976105,,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000213,20880817,1,20171027,20220817,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックスりんくうシークル店,LAOX RINKU SEACLE Store.,5980047,27,2132,りんくう往来南３番地臨空プレジャータウンシークル２Ｆ,"RINKU PLEASURE TOWN SEACLE 2F.,3 Rinku-Orai-Minami",2,34.409161,135.297684,06,,,0724582760,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000214,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス京都祇園店,LAOX KYOTO GION STORE.,6050075,26,1009,東山区四条通大和大路西入中之町２１６京都祇園ＯＫＩビル２Ｆ,"2F, Kyoto Gion OKI Building, 216 Nakano-cho, Yamato-oji Nishi-iru, Shijo-dori, Higashiyama-ku",2,35.003639,135.772926,06,,,0755338850,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000215,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス大丸京都店,LAOX Daimaru KYOTO STORE.,6008511,26,1009,下京区四条通り高倉西入立売西町７９番地　京都大丸７階,"Daimaru Kyoto7F,79Shijo Street Takakura, Nishiiri,Tachiurinishimachi,Shimogyo-ku",7,35.004287,135.762009,06,,,0752547130,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000216,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス道頓堀店,LAOX DAIMARU SHINSAIBASHI STORE.,5420071,27,1004,中央区道頓堀１丁目４－２３ドラゴンゲートビル,"1-4-23doutonnbori, Chuo-ku",,34.668596,135.503830,06,,,0662120501,,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,1030,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000217,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス京都マルイ店,LAOX KYOTO MARUI STORE,6008001,26,1009,下京区四条通河原町東入真町６８番地５階,"Kyoto Marui Store 5th floor,Higashiirushinmachi,Kawaramachi,Simogyoku",5,35.003530,135.769644,06,,,0752568116,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6426,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000218,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス大丸福岡天神店,LAOX DAIMARU FUKUOKA TENJIN STORE,8120001,40,1307,中央区天神１丁目４番１号エルガーラ５Ｆ,"1-4-1-5F, Tenjin, Chuo-ku",5,33.588978,130.401329,06,,,0927382933,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6966,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000219,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス福岡キャナルシティ博多店,LAOX CANAL CITY HAKATA STORE,8120001,40,1307,博多区住吉１－２－７４福岡キャナルシティ博多サウスビル４階,"South Building 4F,1-2-74Sumiyoshi,Hakata-ku",4,33.588554,130.410798,06,,,0922638815,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6966,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000220,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックスヒルトン福岡店,LAOX HILTON FUKUOKAI STORE.,8108650,40,1307,中央区地行浜２－２－３ヒルトン福岡シーホーク４Ｆ,CYUOUKU JIGYOUHAMA HILTON FUKUOKA SEAHAWK 4rd floor.,4,33.594584,130.359478,06,,,0928236031,,1000,1500,0,1000,1500,0,1000,1500,0,1000,1500,0,1000,1500,0,1000,1500,0,1000,1500,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6966,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000221,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス長崎グラバー通り店,LAOX NAGASAKI GLOVER-DORISTORE,8500931,42,2011,長崎県長崎市南山手町２－６寿ビル１階,"1st floor, Kotobuki building, 2-6, Minamiyamatechou",1,32.735386,129.869881,06,,,0958163003,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6966,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000222,20180518,1,20171027,20200811,ラオックス株式会社,"LAOX CO.,LTD",1010021,13,1016,外神田１－２－９,1-2-9 Sotokanda,ラオックス熊本水前寺公園店,LAOX KUMAMOTO SUIZENJIPARK STORE,8620956,43,1001,中央区水前寺公園６－８水前寺観光センタービル１Ｆ,"6-8,Suizenji Park,Chuo-ku",1,32.791509,130.733411,06,,,0962136644,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,1,1,0,0,,,2,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,6966,756,1,2,1,160,30,300000,,,300000,,,1,,,1,,69700,1400,1,2,1,,30,2000000,,,2000000,損害要償額２万円まで無料。その後は、２万円ごとに５０円の追加料金で、最高２００万円まで補償。,"Basic compensation up to 20,000 yen.Compensate up to 2,000,000 yen at extra charge."
0000000223,20180604,0,20171109,,日本郵便株式会社,"Japan Post Co., Ltd.",1008798,13,1016,霞が関一丁目３番２号,1-3-2 kasumigaseki,京都中央郵便局,Kyoto central post office,6008799,26,1009,下京区東塩小路町８４３－１２,"843-12, Higashishiokojicho,Shimogyo-ku",1,34.986453,135.757137,08,京都駅中央口から徒歩３分,a three-minute walk from the central entrance of Kyoto station  to the kyoto central post office,0753652473,http://www.post.japanpost.jp/service/hands-free/,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,手荷物のお受取りは１９時まで,Luggage can be picked up until 19:00,1,1,1,0,0,,,1,1,1,600,,,1,2,1,170,30,300000,火薬類その他の危険品など他のお荷物に損害を及ぼすおそれのあるものなどはお取扱いできません,We cannot accept explosives or other dangerous items and may cause damage to other luggage,,手荷物１個につき３０万円までを責任限度額として補償,"Compensation up to \ 300,000 per baggage as a liability limit",1,1500,,,1,2,1,170,30,,火薬類その他の危険品など他のお荷物に損害を及ぼすおそれのあるものなどはお取扱いできません,We cannot accept explosives or other dangerous items and may cause damage to other luggage,,荷物１個につき３０万円までを責任限度額として補償,"Compensation up to \ 300,000 per baggage as a liability limit",1200,1800,指定宿泊施設（京都市内）,Designated lodging facilities within Kyoto City,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000224,20180612,0,20171121,,公益財団法人高知県観光コンベンション協会,kochi Visitors&Convention Association,7800850,39,2014,丸ノ内１丁目２?２０,1-2-20 marunouchi,こうち旅広場,Kochi Tourist information,7800056,39,2014,北本町２丁目１０－９,2-10-9 kitahonnmachi-town,,33.566600,133.542993,05,,,0888790515,,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,,,,,申告価格又は１個１０万円のいずれか低い額を限度として時価により査定,"Compensation limited to the actual amount of loss or 100,000 yen, whichever is lower",1,500,,,1,,1,,,300000,,,300000,,,1400,1700,高知市内（※桂浜等除く）,Kochi City (excluding  Katsurahama etc.),0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000225,20220715,0,20180109,,一般社団法人　北斗市観光協会,Hokuto Tourism Association,0411242,01,2360,市渡１丁目１番１号,"1-1-1, Ichinowatari, Hokuto city, Hokkaido ",北斗市観光案内所手荷物一時預かりサービス,Hokuto City Tourist Information Center Storage service,0411242,01,2360,市渡１丁目１番１号,"1-1-1, Ichinowatari, Hokuto city, Hokkaido ",1,41.904367,140.648547,05,,,0138841147,,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,100000,,,100000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000226,20180520,0,20180117,,ＪＲ西日本レンタカー＆リース株式会社,West Japan Railway Rent-A-Car&Lease Co.LTD,6600808,28,2022,潮江１－１－６０,1-1-60 shioe,ＪＲ新神戸駅１Ｆコンコース,JR Shin-Kobe Station 1F Concourse,6500001,28,1000,中央区加納町１－３－１,"1-3-1Kano,Chuo-ku",1,34.706370,135.195447,02,新神戸駅構内,Inside of Shinkobe station,0782413573,,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,,,1,1,1,1,0,,,,,1,700,,,1,2,1,250,30,300000,危険品（揮発燃料等）、銃刀類、犬、猫のペットなど,,,荷物の価格を３０万円まで補償,"Compensation up to 300,000 yen",0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000227,20180731,0,20180206,,伊勢市,Ise City,5168601,24,2039,岩渕１－７－２９,1-7-29 Iwabuchi,伊勢市駅手荷物預かり所,Iseshi Station Baggage Storage,5160073,24,2039,吹上１－１－１,1-1-1 Fukiage,2,34.490614,136.710187,02,伊勢市駅前,Iseshi Station front,0596656861,http://www.city.ise.mie.jp/8762.htm,0900,1730,0,0900,1730,0,0900,1730,0,0900,1730,0,0900,1730,0,0900,1730,0,0900,1730,0,,,1,0,0,0,0,,,1,1,1,500,,,1,2,1,160,25,300000,貴重品、危険物、生き物の取扱不可,"Valuable goods,dangerous goods,and live animals are not accepted",300000,,,1,1000,,,1,2,1,160,25,300000,貴重品、危険物、生き物の取扱不可,"Valuable goods,dangerous goods,and live animals are not accepted",300000,,,1310,1730,伊勢・鳥羽・志摩地域の宿泊施設,hotels in Ise Toba Shima region,0,,4082,907,1,2,1,160,25,300000,貴重品、危険物、生き物の取扱不可,"Valuable goods,dangerous goods,and live animals are not accepted",300000,,,1,,,0,,,,,,,,,,,,,,
0000000228,20180427,0,20180214,,京王電鉄株式会社,Keio Corporation,1600022,13,1041,新宿３－１－２４京王新宿三丁目ビル８階,"3-1-24,Shinjuku",中部地方インフォメーションプラザｉｎ京王新宿,Central Honshu Information Plaza in Keio Shinjuku,1600023,13,1041,西新宿１丁目南口地下街１号京王モール,"South Exit Underground Shopping Mall1(Keio Mall),Nishi-Shinjuku1",B1,35.689038,139.698961,05,新宿駅徒歩１分,Shinjuku Station 1 minutes on foot,0359905115,http://www.keioinfoplaza.jp,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,0830,1800,0,年中無休（施設点検日を除く）,Open all year round except the date of facility inspection,1,1,1,0,0,,,1,3,1,1000,,,1,2,1,250,30,,貴重品の取扱不可,Valuables impossible,,３万円を上限額として補償,"We will compensate dameges up to a maximum of 30,000 yen.",1,,2600,1000,1,2,1,160,25,300000,貴重品の取扱不可,Valuables impossible,,３０万円を上限として補償,"We will compensate dameges up to a maximum of 300,000 yen.",1430,2600,西新宿エリアの指定されたホテル、羽田空港、成田空港,"specified hotels in Shinjuku,Haneda Airport,and Narita Airport",1,,4082,907,1,2,1,160,25,,貴重品の取扱不可,Valuables impossible,,３０万円を上限として補償,"We will compensate dameges up to a maximum of 300,000 yen.",1,,,0,,,,,,,,,,,,,,
0000000229,20180528,1,20180214,20200814,一般社団法人別府インターナショナルプラザ,BEPPU INTERNATIONAL PLAZA,8740926,44,2020,京町１１－８　ＡＰＵプラザ１階,"APU plaza 1F , 11-8 Kyomachi",鉄輪観光案内所,Kannawa Tourist Information Office,8740805,44,2020,大字鉄輪３０６－１,"306-1,Kannawa",1,33.316041,131.475535,05,亀の井バス鉄輪待合所内,Kannawa Bus Center,0977663855,http://beppu-travel.com/hands-free-travel /en/,0900,1630,0,0900,1630,0,0900,1630,0,0900,1630,0,0900,1630,0,0900,1630,0,0900,1630,0,,,1,0,0,0,0,,,1,3,1,,700,300,1,2,1,160,25,,貴重品の取扱不可,Valuables impossible,,当社の過失の場合は補償,Compensation in case of our negligence,1,,1300,1000,1,2,1,160,25,300000,,,300000,,,1200,1700,宿泊施設（大分県別府市）,Hotels(Beppu City),0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000230,20180525,0,20180214,,ヤマト運輸株式会社,"YAMATO TRANSPORT CO.,LTD.",1048125,13,1024,銀座二丁目１６番１０号,2-16-10 Ginza,ＪＲ別府駅内えきマチ１丁目,Beppu station Ekimachi 1chome,8740934,44,2020,駅前町１２－１３,"12-13,ekimae-chou",,33.279584,131.500607,02,別府駅構内,In Beppu station,0120179625,http://beppu-travel.com/hands-free-travel /en/,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,0900,2000,0,,,1,1,1,1,0,,,1,1,1,,700,300,1,1,1,160,25,300000,,,300000,,,1,,1300,1000,1,2,1,160,25,300000,,,300000,,,1230,1700,宿泊施設（大分県別府市）,Hotels(Beppu City),1,,3874,494,1,1,1,160,25,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000231,20180214,0,20180214,,株式会社サラヴィオ化粧品,SARAVIO,8740840,44,2020,大字鶴見１３５６－６,1356-6 Tsurumi,別府タワー,Beppu Tower,8740920,44,2020,北浜３丁目１０－２,"3-10-2,kitahama",,33.281710,131.505982,06,,,0977765160,http://beppu-travel.com/hands-free-travel /en/,1000,1200,0,1000,1200,0,,,1,1000,1200,0,1000,1200,0,1000,1200,0,1000,1200,0,,,1,1,1,1,0,,,1,1,0,,,,,,,,,,,,,,,1,,1300,1000,1,,1,160,25,300000,,,300000,,,1200,1700,宿泊施設（大分県別府市）,Hotels(Beppu City),0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000232,20200122,1,20180219,20191231,株式会社ＺＥＲＯ　ＰＬＡＮＮＩＮＧ,"ZERO PLANNING Co., Ltd",0600062,01,1002,中央区南２条西５丁目２３－１－６Ｆ,"5-23-1-6F minami2zyonishi,tyuoku",ｅｎｏｎ宅配便,enon delivery service,0600063,01,1002,南３条西５丁目１－１ｎＯＲＢＥＳＡ２階,"2F nORBESA1-1,Nishi5-Chome,Minami3-jo,Chuo-Ku",2,43.056089,141.350981,06,,,0112076500,http://www.touristlounge-enon.com,0930,2130,0,0930,2130,0,0930,2130,0,0930,2130,0,0930,2130,0,0930,2130,0,0930,2130,0,,,1,1,1,1,0,,,,,1,,500,100,1,,1,,,,,,,荷物の価格を１０万円まで補償,"Compensation up to 100,000 yen",0,,,,,,,,,,,,,,,,,,,1,,4730,907,1,2,1,,,300000,,,300000,,,1,アウトレットモール千歳レラ,outlet mall CHITOSERera,0,,,,,,,,,,,,,,
0000000233,20220323,0,20180228,,株式会社小田急トラベル,"ODAKYU Travel Co.,Ltd.",1510053,13,1130,代々木２－２８－１２,,小田急旅行センター　新宿西口　手荷物カウンター,"Odakyu Sightseeing Service center,Shinjuku West Baggage Service",1600023,13,1041,西新宿１－１－３,"1-1-3,nishishinjyuku",,35.691389,139.699722,02,小田急新宿駅西口地下コンコース,,0333440688,https://www.odakyu-travel.co.jp/eng/tokyo/images_new/baggage_service3.pdf,0730,1900,0,0730,1900,0,0730,1900,0,0730,1900,0,0730,1900,0,0730,1900,0,0730,1900,0,,,1,1,0,0,0,,,,1,1,800,,,1,2,1,160,,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000234,20180521,0,20180226,,株式会社大阪コロナホテル,OsakaCoronaHotel,5330031,27,1004,東淀川区西淡路１－３－２１,"1-3-21 NISHIAWAJI, HIGASHIYODOGAWA-KU",大阪コロナホテル,CORONAHOTE,5330031,27,1004,東淀川区西淡路１－３－２１,"1-3-21 NISHIAWAJI, HIGASHIYODOGAWA-KU",,34.735550,135.504337,04,ＪＲ新大阪駅徒歩２分,JR Shinoosaka Station 2 minutes on foot,0663233151,http://osakacoronahotel.co.jp/en/service.html,0000,2400,0,0000,2400,0,0000,2400,0,0000,2400,0,0000,2400,0,0000,2400,0,0000,2400,0,,,1,1,1,1,0,,,1,1,1,,700,500,1,1,1,,,,,,,荷物の価格を１５万円まで補償,"Compensation up to 150,000 yen",0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
